,Unnamed: 0.1,Job Title,Company,location,site,jobtype,health_insurance,Dental_insurance,years of experience,benefits_401k,stocks,date_posted,lower_limit_salary,upper_limit_salary
1050,1050,Purchasing Business Analyst,Alameda Health System,Oakland,Ladders,Full-time,0,0,0,0,0,30,94080,186240.0
1052,1052,Consulting Group Analyst,Morgan Stanley,Menlo Park,JobzMall,Full-time,0,0,0,1,0,30,105000,135000.0
1053,1053,Principal Supply Chain and Manufacturing Business Analyst,Shockwave Medical Inc,Anywhere • via ZipRecruiter,ZipRecruiter,Full-time and Contractor,1,1,1,1,0,3,136000,170000.0
1054,1054,Senior Business Systems Analyst - ERP,Santa Clara Valley Transportation Authority,San Jose,Indeed,Full-time,0,0,0,1,0,30,123000,160000.0
1055,1055,Business Analyst 4,NextDeavor Inc.,San Francisco,Jooble,Full-time,1,1,0,1,0,6,124800,134400.0
1057,1057,Business Systems Analyst (Law & Justice),Solano County,Fairfield,GovernmentJobs.com,Full-time,0,0,0,0,0,30,86400,19200.0
1059,1059,Senior Mobile Workforce Business Analyst,California Water Service,San Jose,ZipRecruiter,Contractor,0,0,1,0,0,17,96500,179200.0
1062,1062,Content Management (Project Manager or Business analyst),Centraprise,Sunnyvale,Ladders,Full-time,0,0,7,0,0,11,26880,289920.0
1066,1066,Business Analyst (Tractor Supply/Petsense),Nestle,Brentwood,LocalJobs.com,Full-time,1,0,0,1,1,12,65000,87000.0
1067,1067,Senior IT Business Analyst - CC&B,PG&E Corporation,Oakland,Ladders,Full-time,0,0,4,1,1,17,105000,169000.0
1072,1072,Intern Consumer Components Business Analyst,Micron,San Jose,Indeed,Full-time,1,1,0,0,1,18,30720,88320.0
1076,1076,Mortgage System Analyst,Texans Credit Union,Campbell,Ladders,Contractor,0,0,6,0,0,30,732,249600.0
1078,1078,Reporting Analyst Marketing dept: 24-02369,Akraya Inc.,Palo Alto,Akraya,Contractor,0,0,3,0,0,13,67200,76800.0
1080,1080,"Business Analyst, SharePoint",Bayside Solutions,Anywhere • via LinkedIn,LinkedIn,Full-time,0,0,5,0,0,19,124800,145600.0
1083,1083,Business Analyst,Face Reality,Danville,LinkedIn,Full-time,1,0,5,0,0,12,172800,211200.0
1084,1084,Business Analyst,The University of San Francisco,San Francisco,ZipRecruiter,Contractor,0,0,5,0,0,30,172800,211200.0
1089,1089,Senior IT Business Analyst,Partnership HealthPlan of California,Suisun City,Adzuna,Full-time,0,0,1,0,1,30,118518,154074.0
1094,1094,Business Analyst (Mitigation),Federal Emergency Management Agency,Oakland,ZipRecruiter,Full-time,0,0,0,0,0,6,44160,151680.0
1098,1098,"Senior Business Analyst ***$4,000 Signing Bonus",Regional Transportation District,San Rafael,Ladders,Full-time,0,0,0,0,0,30,5760,247680.0
1101,1101,Salesforce Business Analyst,TEKsystems,Alameda,ZipRecruiter,Full-time,1,1,5,1,0,2,134400,163200.0
1103,1103,Managing Consultant - Life Sciences - Business Analyst,US101 Guidehouse Inc.,San Francisco,ZipRecruiter,Full-time,1,1,5,1,0,5,109100,163700.0
1108,1108,IT- Business Analyst - Senior,"Sunrise Systems, Inc.",Oakland,LinkedIn,Full-time,0,0,5,0,0,30,111360,124800.0
1112,1112,"Guidewire Business Analyst Lead, Manager",PwC,San Francisco,LinkedIn,Full-time,1,1,5,1,0,24,100000,232000.0
1114,1114,Business Analyst,Triunity Software,Alameda,ZipRecruiter,Full-time,0,0,3,0,0,30,65000,80000.0
1118,1118,Business Support Analyst,ClifyX,San Francisco,LinkedIn,Full-time,0,0,2,0,0,30,42240,69120.0
1124,1124,Business Analyst (W2),Ask IT consulting,San Francisco,ZipRecruiter,Full-time and Part-time,0,0,6,1,0,24,63360,63360.0
1125,1125,"Business Analyst, Life Sciences, Managing Consultant",US101 Guidehouse Inc.,San Francisco,ZipRecruiter,Full-time,1,1,5,1,0,30,109100,163700.0
1129,1129,"Senior Manager, Business Analysis and Insights - Operational Metrics Walmart Connect",Walmart,Daly City,ZipRecruiter,Full-time,1,1,6,1,1,5,80000,202000.0
1131,1131,Data Engineer - AI/ML,Stanford Health Care,Palo Alto,Talentify,Full-time,0,0,2,0,1,4,172800,193920.0
1133,1133,Data Engineer,Abbott Laboratories,Alameda,Abbott Jobs,Full-time,1,0,4,0,0,1,95500,190900.0
1134,1134,"Senior Data Engineer, Amazon Health Science & Analytics",Amazon,San Francisco,Taro,Full-time,0,0,0,0,0,16,139000,240000.0
1138,1138,Data Engineer / Healthcare Industry,Motion Recruitment,Anywhere • via Motion Recruitment,Motion Recruitment,Contractor,0,0,0,1,1,30,96000,115200.0
1140,1140,Observability Data Infrastructure Engineer,CVS Health,Sacramento,CVS Health Jobs,Full-time,1,1,7,1,1,2,124372,247200.0
1141,1141,Senior Data Platform Engineer- Periop,Qventus,Mountain View,Adzuna,Full-time,0,0,5,1,1,22,150000,180000.0
1142,1142,Director data engineering,Helix,San Mateo,Talent.com,Full-time,1,0,5,1,1,3,178000,283000.0
1143,1143,Health Data Analyst Engineer,Nuna Inc.,San Francisco,Karkidi,Full-time,0,0,0,1,1,30,120000,190000.0
1144,1144,Staff backend engineer,Citizen Health,San Mateo,Talent.com,Full-time,1,1,7,0,1,1,200000,235000.0
1145,1145,Senior Data Scientist / LLM Engineer,Qventus,Mountain View,ZipRecruiter,Full-time,0,0,3,0,1,30,150000,180000.0
1148,1148,Healthcare Data Analyst (Onsite),"LAKESIDE MEDICAL ORG, A MEDICAL GROUP, INC.",California • via Glassdoor,Glassdoor,Full-time,1,1,0,1,0,3,48000,51840.0
1149,1149,Sales Engineer Lead (MedInsight),Milliman,Walnut Creek,ZipRecruiter,Full-time,1,1,5,1,0,4,85000,173000.0
1152,1152,"Principal Software Architect, App Store Analytics & Data Engineering",Apple,Cupertino,Careers At Apple,Full-time,1,1,0,1,1,30,207800,378700.0
1153,1153,"Staff, Software Engineer - Data",Walmart,Sunnyvale,Walmart Careers,Full-time and Part-time,1,1,6,1,1,30,143000,286000.0
1154,1154,"Senior, Data Scientist - Machine Learning Engineer",Walmart,Sunnyvale,Walmart Careers,Full-time and Part-time,1,1,5,1,1,30,117000,234000.0
1156,1156,"(USA) Senior, Software Engineer",Walmart,Fremont,ZipRecruiter,Full-time and Part-time,1,1,5,1,1,14,117000,234000.0
1157,1157,"Senior, Software Engineer, UI - Data Ventures",Walmart,Sunnyvale,Walmart Careers,Full-time and Part-time,1,1,5,1,1,30,117000,234000.0
