,Unnamed: 0.1,Job Title,Company,location,site,jobtype,health_insurance,Dental_insurance,years of experience,benefits_401k,stocks,date_posted,lower_limit_salary,upper_limit_salary
184,184,"Sr. Business Intelligence Analyst, eComm",Albertsons Companies,Pleasanton,Eofd.fa.us6.Oraclecloud.com,Full-time,1,1,2,1,0,23,92000,119720.0
185,185,Business Intelligence Analyst / Job Req 604260037,ALAMEDA ALLIANCE FOR HEALTH,Alameda,Indeed,Contractor,0,0,0,1,0,30,7680,303360.0
187,187,Business Intelligence Analyst,QuinStreet,Foster City,ZipRecruiter,Full-time,1,0,0,1,1,29,95000,125000.0
188,188,Business Intelligence Analyst,Check,San Francisco,Greenhouse,Full-time,1,1,0,1,1,30,95000,125000.0
192,192,Sr./Principal Business Intelligence Analyst,Workday,Pleasanton,JobzMall,Full-time,0,0,0,0,0,30,105000,125000.0
194,194,Business Intelligence Analyst,On Lok,San Francisco,LinkedIn,Full-time,1,1,3,0,0,24,94080,124800.0
195,195,Principal Business Systems & Intelligence Analyst,"Matson Navigation Company, Inc",Oakland,Jobvite,Full-time,0,0,8,0,1,30,111300,151500.0
196,196,"Senior Manager, People Analytics Business Intelligence",Adobe,San Jose,Adobe Careers,Full-time,0,0,7,0,1,3,130300,245300.0
200,200,Staff Business Intelligence Analyst,Waymo,Mountain View,Ladders,Full-time,1,0,8,1,1,30,190000,238000.0
204,204,Sr. Business Intelligence Analyst,Adobe,San Jose,JobzMall,Full-time,0,0,0,0,0,30,267,280320.0
205,205,"Data Analyst, Sales Analytics",Lucid,Newark,DataAnalyst.com,Full-time,0,0,3,1,1,9,108000,146000.0
206,206,Senior Business Intelligence Analyst GTM,Druva,Santa Clara,Ladders,Full-time,1,1,5,1,1,30,135000,189000.0
207,207,Business Intelligence Analyst,Box,Redwood City,JobzMall,Full-time,0,0,0,1,1,30,82000,118000.0
209,209,Business Intelligence Data Analyst - Global Monetization Product & Tech,TikTok,San Jose,Indeed,Full-time,1,1,5,0,1,30,147000,270000.0
210,210,AppleCare Business Intelligence Analyst,Apple,Santa Clara,JobzMall,Full-time,0,0,0,0,1,30,72000,90000.0
212,212,Sales Business Intelligence Manager,Snowflake,San Mateo,Snowflake Careers,Full-time,1,1,5,1,1,12,139000,194200.0
216,216,Business Intelligence Analyst,Stanford University,Stanford,JobzMall,Full-time,0,0,0,0,0,30,81000,135000.0
220,220,Business Intelligence Engineer,Amazon,Cupertino,LinkedIn,Full-time,1,1,3,1,1,2,89600,185000.0
222,222,Business Intelligence Analyst III,"Albertsons Companies, Inc.",Pleasanton,Karkidi,Full-time,0,0,2,0,0,30,120000,190000.0
223,223,Data Analyst,Tesla,Fremont,JobzMall,Full-time,0,0,0,1,0,30,747,234240.0
224,224,Marketing Business Intelligence Analyst,Williams Sonoma,San Francisco,Indeed,Full-time,1,1,0,1,0,25,75000,85000.0
226,226,"Senior Business Intelligence Analyst, Service",Bloom Energy,San Jose,Karkidi,Full-time,0,0,2,0,0,30,160000,240000.0
229,229,Business Intelligence Analyst - Marketing,Slack,San Francisco,JobzMall,Full-time,0,0,0,1,0,30,71040,226560.0
230,230,Marketing Business Intelligence Analyst,Rejuvenation,Anywhere • via ZipRecruiter,ZipRecruiter,Full-time,1,1,0,1,0,24,75000,85000.0
231,231,Growth & BI Analyst,ICONMA,Sunnyvale,LinkedIn,Full-time,0,0,5,1,0,15,59520,151680.0
235,235,Senior Systems Analyst,City of Berkeley,Berkeley,GovernmentJobs.com,Full-time,0,0,0,0,0,30,36480,284160.0
237,237,"Data Analyst, BI",Checkr,San Francisco,ZipRecruiter,Contractor,1,1,4,0,1,4,48000,48000.0
238,238,Entry Level Business/Data Analyst,SynergisticIT,San Mateo,LinkedIn,Full-time,0,0,0,0,1,30,192000,192000.0
239,239,"Staff Business Data Analyst, Product Analytics",Intuit,Mountain View,JobzMall,Full-time,0,0,0,0,1,30,90000,120000.0
240,240,"Business Intelligence Engineer, Alexa, Fire TV, Appstore, Luna",Amazon,Sunnyvale,LinkedIn,Full-time,1,0,3,0,1,8,89600,185000.0
242,242,Pricing & Yield Analyst,Doximity,San Francisco,Work @ Doximity,"Full-time, Part-time, and Contractor",1,1,5,1,1,30,108000,150000.0
243,243,Salesforce Data Analyst,Apollose,San Jose,OPTnation,Full-time,0,0,0,1,1,30,103000,104000.0
245,245,BI Analyst,"Albertsons Companies, Inc.",Pleasanton,Karkidi,Contractor,0,0,5,0,0,30,120000,190000.0
247,247,Business Intelligence Analyst,Informative Research,Sacramento,Monster,Contractor,1,1,2,0,1,30,72500,108300.0
248,248,Data & Business Intelligence Analyst,Cypress HCM,Sunnyvale,Avionte,Full-time,0,0,2,0,1,30,111360,
250,250,"Senior Business Intelligence Engineer, PLX Finance BI",Amazon,Sunnyvale,LinkedIn,Full-time,1,0,5,0,1,7,117300,202800.0
251,251,Staff Strategy and Business Intelligence Analyst,Sunrun,California (+1 other) • via Sunrun,Sunrun,Full-time,1,1,5,0,1,30,103221,137628.0
253,253,Business Intelligence Analyst,Harbor Wholesale Foods,Modesto,Jooble,Full-time,1,1,3,1,0,30,163200,220800.0
256,256,Intern - Market Intelligence Analyst,Micron Technology,Folsom,Jobs At Micron Technology,Full-time,1,1,0,0,1,6,69120,88320.0
259,259,Senior Business Data Analyst,Intuit,San Francisco,JobzMall,Full-time,0,0,0,1,0,30,100000,150000.0
260,260,Oracle HCMI BI Analyst,LHH Recruitment Solutions,Anywhere • via ZipRecruiter,ZipRecruiter,Full-time,1,1,3,0,0,26,86400,115200.0
261,261,Data Analyst V,Crystal Equation,West Menlo Park,Crystal Equation,Full-time,1,1,4,0,1,24,178560,188160.0
262,262,"Business Intelligence Engineer, Ring Subscriptions and Software (RSSBI)",Amazon,Sunnyvale,LinkedIn,Full-time,1,0,3,0,1,9,89600,185000.0
263,263,Senior Business Intelligence System Analyst,Partnership HealthPlan of California,Suisun City,Adzuna,Full-time,0,0,0,0,1,22,118518,154074.0
265,265,"Data Analyst, People Data Solutions",Meta,Menlo Park,LinkedIn,Full-time,1,0,4,0,1,2,104000,146000.0
266,266,Business Analyst,ACME Tire,Palo Alto,ZipRecruiter,Full-time,0,0,0,0,1,30,75000,95000.0
269,269,"Business Intelligence Engineer, Alexa Audio Data and Insights",Amazon,Sunnyvale,LinkedIn,Full-time,1,0,3,1,1,11,89600,185000.0
272,272,Data Analyst II,Logix Federal Credit Union,California • via SimplyHired,SimplyHired,Part-time,0,0,4,0,0,25,73700,110551.0
273,273,Survey Data Analyst,Survey Junkie,San Jose,Lively Vacancies,Full-time,0,0,8,0,0,4,249600,249600.0
279,279,Senior Business Intelligence System Analyst,Partnership HealthPlan of California,Fairfield,ZipRecruiter,Contractor,0,0,0,0,0,22,118518,154074.0
280,280,Data Analyst and Power BI Report Writer,Intel,Folsom,JobzMall,Contractor,0,0,0,0,0,30,75000,95000.0
281,281,Power BI Developer - Remote / Telecommute,Cynet Systems,Santa Clara,LinkedIn,Full-time,0,0,4,1,1,30,53760,63360.0
282,282,Data Analyst,Webconnex LLC,Sacramento,Jooble,Full-time,1,1,2,1,1,30,120000,150000.0
283,283,Business Intelligence Engineer,Amazon,Cupertino,LinkedIn,Full-time,1,1,3,1,1,11,74100,165600.0
287,287,Business Intelligence Analyst - Databricks,IntePros,California • via LinkedIn,LinkedIn,Contractor,0,1,7,1,0,1,105600,105600.0
288,288,Reporting Specialist,Catapult Solutions Group,Mountain View,LinkedIn,Full-time,0,0,0,0,0,4,144000,147840.0
289,289,Trackwise Business Systems Analyst and Developer,"Amick Brown - SAP, Cloud Technologies and Business Intelligence Staffing & Consulting",Sunnyvale,LinkedIn,Contractor,0,0,5,0,0,30,142080,176640.0
291,291,Business Analyst,"GTT, LLC",Avila Beach,ZipRecruiter,Full-time,1,1,0,1,0,11,96000,96000.0
292,292,Senior Business Intelligence System Analyst,Partnership HealthPlan of California,Fairfield,LinkedIn,Full-time,0,0,0,1,0,1,118518,154074.0
295,295,"Data Engineer, Product Analytics",Meta,Menlo Park,LinkedIn,Full-time,1,0,7,0,1,1,173000,242000.0
297,297,Staff Data Engineer - Data Science,LinkedIn,Sunnyvale,LinkedIn,Full-time,1,0,4,0,1,3,147000,240000.0
298,298,GCP Data Engineer (W2),Aptivacorp,Sunnyvale,Indeed,Full-time and Contractor,0,0,5,0,1,2,105600,115200.0
301,301,AIML - Sr Software Data Infrastructure Engineer - Data and ML Innovation,Apple,Cupertino,Careers At Apple,Full-time,1,1,0,0,1,5,175800,312200.0
302,302,Lead Data Engineer,San Jose State University,San Jose,Chronicle Of Higher Education,Full-time,0,0,3,1,1,30,7020,13594.0
303,303,Senior Data Engineer,Acubed by Airbus,Sunnyvale,Acubed - Airbus,Full-time,1,1,5,1,1,30,155000,194000.0
304,304,(USA) Data Engineer III,Walmart,Hayward,ZipRecruiter,Full-time and Part-time,1,1,4,1,1,7,117000,234000.0
306,306,Data Engineer III,Sam's Club,Sunnyvale,Indeed,Full-time and Part-time,1,1,4,1,1,16,117000,234000.0
307,307,Data Engineer IV,Crystal Equation,Sunnyvale,Crystal Equation,Full-time,1,1,0,1,1,30,159360,168960.0
308,308,"(USA) Senior, Data Engineer",Walmart,Sunnyvale,Walmart Careers,Full-time and Part-time,1,1,8,1,1,30,108000,216000.0
310,310,Data Engineer (Databricks),NTT DATA,Anywhere • via ZipRecruiter,ZipRecruiter,Full-time,1,1,8,1,1,10,163200,182400.0
311,311,"Senior Software Engineer, Data Engineering",DoorDash,Sunnyvale,LinkedIn,Full-time,1,1,5,1,1,4,119100,175100.0
314,314,Senior Software Engineer - Data Engineer,NVIDIA,Santa Clara,JobzMall,Full-time,0,0,0,0,0,30,120000,150000.0
319,319,Bioinformatics Data Engineer,Revolution Medicines,Anywhere • via VentureLoop,VentureLoop,Full-time,1,0,3,0,1,19,120000,145000.0
320,320,Senior Data Engineer: 24-01769,Akraya Inc.,Sunnyvale,Akraya,Full-time,0,0,5,1,1,9,130560,144000.0
321,321,Data Engineer,Moody's Corporation,Newark,Learn4Good,Contractor,1,1,2,1,1,30,60000,80000.0
322,322,Looking for Principal Big Data Engineer,Xoriant Corporation,Santa Clara,Dice,Full-time,0,0,3,1,1,30,134400,153600.0
323,323,Senior/Staff Data Engineer,"Gatik AI, Inc.",Mountain View,Ladders,Full-time and Part-time,0,0,7,1,1,30,120000,180000.0
325,325,Cloud Data Engineer,Ford Motor,Palo Alto,JobzMall,Full-time and Contractor,0,0,0,1,1,30,114000,152000.0
326,326,Data Engineer W2 Locals,Finezi,Oakland,Glassdoor,Full-time,1,1,0,1,0,10,172800,192000.0
327,327,Staff Data Platform Engineer,ClassDojo,San Francisco,Greenhouse,Full-time,0,0,7,1,0,30,171500,244000.0
328,328,Sr. Data Engineer I,Cars Commerce,San Francisco,Taro,Full-time,0,0,0,0,1,30,131000,164000.0
329,329,Senior/Staff Software Engineer - Simulation Data Platform,Zoox,Foster City,Lever,Full-time,1,1,5,0,1,30,203000,293000.0
330,330,Senior Software Engineer - Machine Learning Infrastructure - Apple Maps,Apple,Cupertino,Careers At Apple,Full-time,1,1,1,1,1,1,175800,312200.0
331,331,Specialist - Data Engineering,LTIMindtree,San Jose,Indeed,Full-time,1,1,0,1,1,30,90000,110000.0
333,333,Snowflake Data Engineer,Tata Consultancy Services,Sunnyvale,Ladders,Full-time and Part-time,0,0,8,1,1,9,217,309120.0
335,335,IT Data and Analytics Engineer,SAP,Stanford,Adzuna,Full-time,1,0,5,1,1,30,689,322560.0
337,337,"Data Engineer, Global Payments - USDS",TikTok,Mountain View,Indeed,Full-time,1,1,0,0,1,30,116000,250000.0
338,338,"Computational Biologist & Engineer in Genomics (Engreitz Lab, Research Data Analyst 1)",School of Medicine,Stanford,Stanford Medicine - Stanford University,Contractor,0,0,0,0,1,30,66560,97000.0
342,342,Security Data Engineer,Blizzard Entertainment,Foster City,JobzMall,Full-time,0,0,0,0,1,30,110000,172000.0
345,345,"Senior Data Scientist, ASE iCloud Data Organization [Executive Communications]",Apple,Cupertino,Careers At Apple,Full-time,1,1,5,0,1,30,175800,312200.0
346,346,Senior Data Infrastructure Engineer,Webflow,San Francisco,Taro,Full-time,0,0,0,1,1,11,158000,218000.0
347,347,"Principal Engineer, Developer Platform APIs",Snowflake,San Mateo,Snowflake Careers,Full-time,1,1,1,1,1,1,235000,368000.0
348,348,Sr. Big Data Engineer (Sunnyvale),Zenith Services,San Bruno,Glassdoor,Full-time and Part-time,0,0,0,1,1,30,153600,153600.0
350,350,Data Platform Engineer (US),Onehouse,Sunnyvale,Lever,Full-time,1,1,3,1,1,30,150000,220000.0
352,352,Data Engineer (Databricks),NTT DATA,Santa Clara,Indeed,Full-time,1,1,8,1,0,10,163200,182400.0
354,354,"Data Engineer, Ads",Unity,San Francisco,JobzMall,Full-time,0,0,0,0,1,30,90000,150000.0
356,356,"Solutions Architect, Data Engineering & Snowpark",Snowflake,California • via Snowflake Careers,Snowflake Careers,Full-time,1,1,6,1,1,1,147000,204700.0
359,359,Data Platform Engineer,Figure Markets,Anywhere • via Indeed,Indeed,Full-time,1,1,6,1,1,30,960,245760.0
363,363,Senior Data Engineer,Zoox,Foster City,ZipRecruiter,Full-time,1,1,0,1,1,30,143000,245000.0
365,365,Senior Data Engineer - BPR Insight,Apple,Elk Grove,Careers At Apple,Full-time,1,1,8,0,1,30,187000,280800.0
366,366,Head of Data Engineering,"Samsung Electronics America, Inc.",Mountain View,ZipRecruiter,Full-time,1,0,8,0,1,12,275500,325000.0
367,367,Data Analytics and Engineering Sr. Manager,Motion Recruitment,Los Angeles,Motion Recruitment,Full-time,0,0,5,0,0,2,140000,200000.0
368,368,Data Engineer,Robert Half,Torrance,Robert Half,Full-time,0,0,0,0,0,17,111360,115200.0
369,369,"Lead Data Engineer, Data Platform","Tubi, Inc.",Anywhere • via Karkidi,Karkidi,Full-time,0,0,7,0,0,30,120000,190000.0
371,371,Data Defense Solutions Engineer,TikTok,San Jose,Indeed,Full-time,1,1,0,1,1,30,147000,270000.0
373,373,Electrical/Data Engineer,DCS Corp,Ridgecrest,DCS Corp,Full-time,0,0,5,1,1,14,79616,110000.0
374,374,Staff Data Platform Engineer,ClassDojo,San Francisco,Jooble,Full-time,0,0,7,0,0,30,171500,244000.0
375,375,Data Engineer,Guitar Center,Westlake Village,Glassdoor,Full-time,0,0,5,0,0,30,116000,130000.0
378,378,Sr. Data Engineer (Platform),GoodRx,Anywhere • via Built In NYC,Built In NYC,Full-time,1,1,8,1,1,15,121000,257000.0
379,379,Data Engineer I,GumGum,Santa Monica,Greenhouse,Full-time and Part-time,1,0,2,1,1,30,119000,137000.0
380,380,Software / Data Engineer (1399),Zapata Technology,Del Rey Oaks,Adzuna,Full-time,0,0,4,1,1,3,105000,138000.0
381,381,Senior Data Engineer,Walmart,Danville,Prime Job Seekers,Contractor,1,1,7,1,1,6,117000,234000.0
382,382,Business Intelligence Engineer,Amazon,Cupertino,LinkedIn,Full-time,1,1,3,1,1,11,74100,165600.0
385,385,Data Engineer,Wipro Limited,Sacramento,OPTnation,Full-time,0,0,3,0,0,30,125000,135000.0
386,386,Director of Data Engineering & Analytics,Wellth,Marina Del Rey,Greenhouse,Full-time,1,1,7,0,0,30,200000,200000.0
387,387,Sr. Data Engineer with AWS experience,AVM Consulting,Anywhere • via Built In Los Angeles,Built In Los Angeles,Full-time,0,0,5,0,0,13,100000,220000.0
392,392,Data Engineer,Robert Half,Calabasas,Job,Full-time,0,0,0,0,0,3,268800,268800.0
393,393,10453 - Data Engineer I,Hyundai Autoever America,Fountain Valley,Dice.com,Full-time,0,0,0,0,0,12,69390,90200.0
395,395,Data Engineer,ScaleneWorks,Aliso Viejo,Jooble,Full-time and Part-time,0,0,4,0,0,7,70000,
396,396,Data Engineer,Planck Technology,California City,OPTnation,Contractor,0,0,4,0,0,30,80000,100000.0
399,399,"Data Engineer , Stores FinTech",Amazon,La Puente,Ladders,Full-time,0,0,1,1,1,30,913,251520.0
402,402,Azure Data Engineer,VISART,Claremont,OPTnation,Full-time,0,0,7,1,1,30,107000,107000.0
404,404,"Data Engineer, Amazon Smart Vehicles",Amazon,Irvine,LinkedIn,Full-time and Part-time,1,0,1,1,1,11,91200,185000.0
405,405,Data Engineer Lead,ASR Analytics,Rancho Cordova,Ladders,Contractor,0,0,5,0,1,30,150000,170000.0
411,411,Business Intelligence Data Engineer,MotorTrend Group,El Segundo,Ladders,Full-time,0,0,4,0,0,30,187000,200000.0
412,412,DATA ENGINEER,VSolvit,Norco,Indeed,Full-time,1,1,5,0,0,30,90000,105000.0
413,413,Data Engineer,The Guitar Center Company,Westlake Village,LinkedIn,Full-time and Part-time,0,0,5,0,0,24,116000,130000.0
414,414,Data Engineer,AltaMed Health Services,Montebello,Learn4Good,Full-time,1,1,5,1,1,30,80000,100000.0
420,420,Sr. Data Engineer,Frontend Arts,Gold Beach,Ladders,Full-time,0,0,0,0,1,22,217,309120.0
424,424,Knowledge Graph / Data Engineering - Manager,PwC,California • via LinkedIn,LinkedIn,Full-time,1,1,5,1,1,9,100000,232000.0
425,425,Data Engineer,Ensign Services,San Juan Capistrano,Indeed,Full-time,1,1,3,1,1,25,90000,130000.0
426,426,AWS Data Engineer,"UNICON International, Inc.",Torrance,ZipRecruiter,Full-time and Part-time,1,1,5,1,1,24,272640,291840.0
429,429,Data Analyst/Engineer,PragerU,Anywhere • via ZipRecruiter,ZipRecruiter,Full-time,1,0,4,1,1,8,135000,150000.0
433,433,Data Engineering Intern,Pacific Life,Newport Beach,LinkedIn,Full-time and Part-time,0,0,0,1,1,17,48000,57600.0
442,442,"SENIOR, DATA SCIENTIST - MACHINE LEARNING ENGINEER",Walmart,Portola Valley,Prime Job Seekers,Full-time and Part-time,1,1,5,1,1,6,117000,234000.0
443,443,"SENIOR, DATA SCIENTIST - MACHINE LEARNING ENGINEER",Walmart,Daly City,Prime Job Seekers,Full-time and Part-time,1,1,5,1,1,6,117000,234000.0
444,444,SOFTWARE ENGINEER III- BACK END DATA,Walmart,South San Francisco,Prime Job Seekers,"Full-time, Part-time, and Internship",1,1,5,1,1,6,117000,234000.0
446,446,"(USA) SENIOR, DATA SCIENTIST (COMPUTER VISION ENGINEER)",Walmart,Oakland,Prime Job Seekers,Full-time and Part-time,1,1,5,1,1,6,117000,234000.0
448,448,ML - Data Scientist,Apple,Sunnyvale,Careers At Apple,Full-time,1,1,4,0,1,4,143100,264200.0
449,449,"Data Scientist, Square Point of Sale",Block,San Francisco,LinkedIn,Full-time,0,0,3,1,1,1,142000,213000.0
450,450,Senior Data Scientist,Walmart,Union City,Prime Job Seekers,Full-time and Part-time,1,1,5,1,1,5,117000,234000.0
452,452,"Data Scientist, Data Strategy and Analytics",Abbott Laboratories,Alameda,Abbott Jobs,Full-time,1,0,8,0,0,4,144100,288300.0
454,454,Sr Data Scientist,Fanatics,San Mateo,Ladders,Full-time,0,0,4,0,1,2,152000,190000.0
455,455,"Data Scientist, WW Demand Planning",Apple,Sunnyvale,Careers At Apple,Full-time,1,1,0,0,1,17,165500,248700.0
456,456,"Data Scientist, TikTok Risk Issues - San Jose",TikTok,San Jose,LinkedIn,Full-time,1,1,0,0,1,3,144000,240000.0
458,458,"Senior, Data Scientist - Advertising Measurement",Walmart,Fremont,ZipRecruiter,Full-time and Part-time,1,1,5,1,1,5,108000,234000.0
459,459,"Senior Staff Data Scientist, Product",Google,Sunnyvale,LinkedIn,Full-time,1,0,3,1,1,3,214000,305000.0
460,460,Lead Biomedical Informatics Data Scientist,Stanford Health Care,Redwood City,LinkedIn,Full-time,0,0,6,0,1,2,122880,163200.0
461,461,ML Data Scientist - Computer Vision,Apple,Sunnyvale,Careers At Apple,Full-time,1,1,3,1,1,30,143100,264200.0
462,462,"SENIOR, DATA SCIENTIST - MACHINE LEARNING ENGINEER",Walmart,Union City,Prime Job Seekers,Full-time and Part-time,1,1,5,1,1,6,117000,234000.0
463,463,Data Scientist,Natera,San Carlos,Glassdoor,Full-time,1,1,2,1,1,9,600,247680.0
465,465,"Senior, Data Scientist, Machine Learning Platform",Walmart,Sunnyvale,Walmart Careers,Full-time and Part-time,1,1,5,1,1,27,117000,234000.0
466,466,"Senior Data Scientist, Finance",Snowflake,San Mateo,Snowflake Careers,Full-time,1,1,0,1,1,1,148000,218500.0
467,467,"Senior Manager, Data Science-Manager of the Center of Excellence in Data Science and AI",PG&E Corporation,Oakland,Pacific Gas And Electric Company - PG&E,Full-time,0,0,4,1,1,30,167000,167000.0
469,469,Data Scientist,Apple,Sunnyvale,ZipRecruiter,Full-time,0,0,0,1,0,30,136000,249000.0
472,472,Data Scientist,Glean,Palo Alto,Greenhouse,Full-time,1,1,4,1,1,30,145000,145000.0
473,473,"Data Scientist, Product Analytics - Machine Learning",Meta,Sunnyvale,LinkedIn,Full-time,1,0,6,1,1,2,173000,242000.0
474,474,Data Scientist,The Voleon Group,Berkeley,Glassdoor,Full-time,1,1,1,1,1,2,150000,190000.0
476,476,"Sr. Data Scientist - Marketplace, Ad Platforms",Apple,Cupertino,Careers At Apple,Full-time,1,1,6,0,1,30,143100,264200.0
477,477,"Assistant Director, Cancer Data Science",School of Medicine,Stanford,Stanford Medicine - Stanford University,Full-time,0,0,3,1,1,30,87000,125000.0
478,478,Data Scientist (Starlink Growth),SpaceX,Sunnyvale,Ladders,Full-time,1,1,0,1,1,30,130000,180000.0
479,479,Data Scientist/Senior Data Scientist,C3 AI,Redwood City,LinkedIn,Full-time,1,0,0,1,1,20,123000,185000.0
480,480,Data Scientist / Senior Data Scientist,"Diagnose Early Holdings, Inc.",Menlo Park,Glassdoor,Full-time,1,1,4,0,1,30,160000,225000.0
481,481,Senior Data Scientist,Virta Health,Newark,Lively Vacancies,Full-time,0,0,7,1,1,1,996,213.0
482,482,Data Scientist,Abbott Laboratories,Alameda,Abbott Jobs,Full-time,1,1,1,1,0,2,64000,128000.0
483,483,Data Scientist,Colsh Consultants,Santa Clara,Indeed,Full-time,0,0,1,1,0,30,64000,128000.0
485,485,Senior Data Scientist - Retailer,Faire,San Francisco,LinkedIn,Full-time,1,0,3,0,1,2,177500,244000.0
486,486,"Manager, Product Data Science",Thumbtack,San Francisco,Greenhouse,Full-time,0,0,7,0,1,6,191250,247500.0
488,488,"Senior Data Scientist, ASE iCloud Data Organization [Executive Communications]",Apple,Cupertino,Careers At Apple,Full-time,1,1,5,0,1,30,175800,312200.0
489,489,Staff Data Scientist,Unity Technologies,San Francisco,Adzuna,Full-time,0,0,0,1,1,30,183700,248600.0
490,490,"Staff, Data Scientist",Walmart,Sunnyvale,Walmart Careers,Full-time and Part-time,1,1,6,1,1,30,143000,286000.0
491,491,Data Scientist,The Voleon Group,Berkeley,Lever,Full-time,1,1,1,1,1,30,150000,190000.0
493,493,Intern - Data Scientist,Genentech,South San Francisco,JobzMall,Full-time,0,0,0,0,0,30,85000,100000.0
495,495,"Data Scientist, Finance",Meta,Menlo Park,LinkedIn,Full-time,1,0,5,0,1,9,173000,242000.0
497,497,Senior Data Scientist,Walmart,Piedmont,Prime Job Seekers,Full-time and Part-time,1,1,5,1,1,5,117000,234000.0
498,498,Data Scientist - Product Marketing and Customer Analytics,Apple,Cupertino,Careers At Apple,Full-time,1,1,5,1,1,30,165500,248700.0
501,501,"Staff, Data Scientist - AdTech",Walmart,Sunnyvale,Walmart Careers,Full-time and Part-time,1,1,6,1,1,30,143000,286000.0
502,502,Fraud Risk Data Scientist,BILL,Campbell,Adzuna,Full-time,1,1,2,1,1,30,110200,132100.0
503,503,"Data Scientist, Product Analytics",Meta,Sunnyvale,LinkedIn,Full-time,1,0,2,1,1,22,114000,171000.0
504,504,Senior Data Scientist,Walmart,Millbrae,Prime Job Seekers,Full-time and Part-time,1,1,5,1,1,5,117000,234000.0
505,505,Data Scientist (User Growth),Jerry,San Francisco,ZipRecruiter,Full-time,0,0,4,1,1,9,240,3840.0
507,507,Senior Data Scientist,Virta Health,South San Francisco,Lively Vacancies,Full-time,0,0,7,0,1,1,996,213.0
509,509,"AIML - Sr Data Scientist, AIML Data",Apple,Cupertino,Careers At Apple,Full-time,1,1,5,0,1,30,143100,264200.0
511,511,Senior Data Scientist,Walmart,San Carlos,Prime Job Seekers,Full-time,1,1,5,1,1,5,117000,234000.0
512,512,"Senior Data Scientist, Product",Google,Mountain View,The Muse,Full-time,1,0,8,1,1,13,142000,211000.0
513,513,"Sr. Data Scientist, Analytics & Insights",Amazon Web Services (AWS),Santa Clara,LinkedIn,Full-time,1,0,5,0,1,7,143300,247600.0
514,514,"Data Scientist, GTM",OpenAI,San Francisco,ZipRecruiter,Full-time,0,0,6,0,1,10,245000,310000.0
515,515,Senior Data Scientist,Virta Health,Brisbane,Lively Vacancies,Full-time,0,0,7,0,1,1,996,213.0
516,516,Data Scientist - TikTok E-commerce Governance,TikTok,San Jose,LinkedIn,Full-time and Part-time,1,1,2,1,1,19,130000,240000.0
517,517,Senior Data Scientist,Walmart,Pleasant Hill,Prime Job Seekers,Full-time,1,1,5,1,1,5,117000,234000.0
518,518,Lead Data Scientist (User Growth),Jerry,San Francisco,ZipRecruiter,Full-time,0,0,4,1,1,9,240,3840.0
519,519,Machine Learning Scientist - Health Sensing,Apple,Cupertino,Careers At Apple,Contractor,1,1,3,0,1,30,207800,312200.0
520,520,Entry/Junior Level Data Scientist/Python Programmer,SynergisticIT,San Jose,LinkedIn,Full-time,0,0,0,0,1,30,192000,192000.0
521,521,"Director, Data Science and AI - IS Clinical Research - Full Time 8 Hour Days (Exempt) (Non-Union)",Keck Medicine of USC,California • via Careers At USC - University Of Southern California,Careers At USC - University Of Southern California,Full-time and Part-time,0,0,5,1,1,30,133120,219648.0
522,522,"Staff, Data Scientist-- Walmart Fulfillment Services",Walmart,San Bruno,Walmart Careers,Full-time,1,1,7,1,1,30,132000,264000.0
523,523,Senior Data Scientist,Virta Health,Daly City,Lively Vacancies,Full-time,0,0,7,1,1,1,996,213.0
524,524,"Senior Data Scientist, Ecommerce - USDS",TikTok,Mountain View,LinkedIn,Full-time,1,1,0,0,1,22,355,329.0
525,525,Data Scientist,"Fullpower Technologies, Inc.",Santa Cruz,Glassdoor,Full-time and Part-time,1,0,0,0,1,27,130000,170000.0
528,528,Senior Data Scientist,Walmart,Portola Valley,Prime Job Seekers,Full-time,1,1,5,1,1,5,117000,234000.0
529,529,Staff Data Scientist,Grindr,San Francisco,LinkedIn,Full-time,1,1,7,1,1,11,168000,198000.0
530,530,Senior Data Scientist,Virta Health,Albany,Lively Vacancies,Full-time,0,0,7,0,1,1,996,213.0
531,531,Data Scientist 2,Micron Technology,San Jose,LinkedIn,Full-time,1,1,0,0,1,9,170186,219000.0
534,534,"Data Scientist, Data Foundation & System",TikTok,San Jose,LinkedIn,Full-time and Part-time,1,1,2,0,1,9,144000,329000.0
535,535,"Senior Data Scientist, AI Foundations",Capital One,San Jose,Capital One Careers,Full-time,1,0,3,0,1,4,138500,158100.0
536,536,"Director, Data Science – Customer Engineering",Adobe,San Jose,Adobe Careers,Contractor,0,0,1,0,1,3,191700,345700.0
539,539,Senior Data Scientist,Virta Health,Tracy,Lively Vacancies,Full-time,0,0,7,1,1,1,996,213.0
541,541,"Data Scientist, Global Monetization Strategy & Analytics",TikTok,San Jose,LinkedIn,Full-time and Part-time,1,1,5,1,1,20,176000,395000.0
542,542,"(USA) Staff, Data Scientist",Walmart,Palo Alto,ZipRecruiter,Full-time,1,1,5,1,1,5,143000,286000.0
543,543,Senior Data Scientist,Virta Health,Martinez,Lively Vacancies,Full-time,0,0,7,1,1,1,996,213.0
544,544,"Data Scientist, Signal Processing and Machine Learning",Verily,San Bruno,LinkedIn,Full-time,1,0,3,1,1,15,119000,169000.0
